ProspectID;BlockID;ProspectDescription;ProsepectOperator;ProspectAbbr;ProspectName;ProsepectCode;ProspectClass
P1;CL39;Agate is a dual culmination anticlinal drape over a northeast-southwest trending basement horst located in Block 01 within the Mekong Basin. This location is approximately 196 km. East of Vung Tau and 56 km. Northeast of Ruby-3.;PETRONAS;01-E;Agate;BC_PNAS01_02_694;Prospect
P10;CL39;The Ruby prospect is located in the southwestern area of Block 01, located 155 km east of the Vung Tau.;PETRONAS;01-B;Ruby;BC_PNAS01_02_004;Field
P100;CL10;;PHU_QUY_JOC;;Gau Den-South;BC_PHUQUY.POC15.1/05_002;Prospect
P101;CL5;;PHU_QUY_JOC;;Gau Trang;BC_PHUQUY.POC15.1/05_002;Prospect
P102;CL10;;PHU_QUY_JOC;;Gau Xam;BC_PHUQUY.POC15.1/05_002;Prospect
P103;CL10;;PHU_QUY_JOC;;Lead 1;BC_PHUQUY.POC15.1/05_002;Lead
P104;CL10;;PHU_QUY_JOC;;Lead 2;BC_PHUQUY.POC15.1/05_002;Lead
P105;CL10;;PHU_QUY_JOC;;Lead 3;BC_PHUQUY.POC15.1/05_002;Lead
P106;CL10;;PHU_QUY_JOC;;Lead 4;BC_PHUQUY.POC15.1/05_002;Lead
P107;CL12;;JVPC;;Duong Dong;;
P108;CL12;The Gio Dong Prospect is located on the southern end of a structural nose extending from the northern Block 15-1 into the main depression of the Mekong Basin between two NE- SW basement highs of the Rang Dong-Phuong Dong trend and Vung Dong-S Lead trend. The Gio Dong Structure is a N-S trending narrow anticline with a series of N-S trending faults.;JVPC;;Gio Dong;BC_JVPC15-2_411.1/ BC_JVPC15-2_648;Prospect
P109;CL12;The Phuong Dong Prospect is located to the northeast of the Rang Dong Oil Field on the same structural trend lying in the northeastern margin of the Mekong Basin. The structural trend is a series of basement highs which extends from the Bach Ho Oil Field northeastward through JVPC area to the Jade Prospect in the Block 1.;JVPC;;Phuong Dong;BC_JVPC15-2_411.1;Field
P11;CL39;Spinel is a northeast-southwest trening aniclinal drap over a basement horst located in Block 01. This location is approximately 180 km east of Vung Tau,  35 km northeast of Ruby-1.;PETRONAS;EE;Spinel;BC_PNAS01_02_401;Prospect
P110;CL12;The Rang Dong Field is located on the eastern flank of the Mekong Basin on the NE-SW trending structural basement high. which extends from the Bach Ho Oil Field to the southwest and to Phuong Dong and Jade Prospects to the northeast.;JVPC;15-C (Deminex);Rang Dong;BC_JVPC15-2_411.1;Field
P111;CL12;The Vung Dong Prospect is a NE-SW elongated narrow basement high on the northwestern side of the Mekong Basin. The Prospect faces the major depression of the basin to the southeast which is the most important area for source rock maturation and supplied oil and gas to surrounding fields such as the Rang Dong and Bach Ho.;JVPC;15-A;Vung Dong;BC_JVPC15-2_411.1/ BC_JVPC15-2_648;Prospect
P112;CL12;Cấu tạo B dạng cấu trúc nếp uốn khép kín 3 chiều, 1 chiều khép vào đứt gãy hướng Bắc ĐB - Nam TN ở các tầng Móng, E, C, D.;PVEP;;B;BC_JVPC15-2_648;Structure
P113;CL12;Triển vọng S là cấu tạo dạng móng nhô cao, khép kín bốn chiều, cùng nằm trên dải nâng hướng ĐB- TN, nằm về phía Đông Bắc của cấu tạo Vừng Đông.;PVEP;;S;BC_JVPC15-2_648;Prospect
P114;CL12;Triển vọng P được hình thành dạng một nếp lồi giống cấu tạo Gió Đông.;PVEP;;P;BC_JVPC15-2_648;Prospect
